Date,y,close_kospi,dubai,close_diff,hybb,keyword
2023-11-01,1350.160034,2301.56,86.25,-0.6550000000000002,2.93,12.92957
2023-11-02,1347.839966,2343.12,86.94,-0.7220000000000004,2.66,19.18752
2023-11-03,1333.680054,2368.34,88.26,-0.7150000000000007,2.56,31.05642
2023-11-06,1307.839966,2502.37,86.89,-0.6869999999999994,2.52,48.92872
2023-11-07,1297.109985,2443.96,85.04,-0.7620000000000005,2.61,28.79719
2023-11-08,1304.550049,2421.62,82.74,-0.8520000000000003,2.62,22.56045
2023-11-09,1308.119995,2427.08,81.29,-0.758,2.57,17.01315
2023-11-10,1315.199951,2409.66,81.62,-0.742,2.56,14.87059
2023-11-13,1319.619995,2403.76,81.62,-0.7409999999999997,2.57,15.57064
2023-11-14,1319.069946,2433.25,83.35,-0.7969999999999997,2.49,15.1994
2023-11-15,1304.23999,2486.67,83.23,-0.742,2.48,25.60458
2023-11-16,1301.859985,2488.18,81.67,-0.7990000000000004,2.59,23.72719
2023-11-17,1292.449951,2469.85,79.23,-0.8140000000000001,2.56,21.08612
2023-11-20,1294.5,2491.2,82.79,-0.8399999999999999,2.51,24.09843
2023-11-21,1288.150024,2510.42,83.39,-0.859,2.53,24.61815
2023-11-22,1295.189941,2511.7,84.19,-0.8719999999999999,2.48,16.12218
2023-11-23,1298.790039,2514.96,82.69,-0.8329999999999993,2.48,13.57658
2023-11-24,1300.180054,2496.63,83.05,-0.8099999999999996,2.43,13.48112
2023-11-27,1289.790039,2495.66,81.49,-0.8770000000000007,2.48,15.9843
2023-11-28,1302.530029,2521.76,82.14,-0.8629999999999995,2.48,19.53754
2023-11-29,1287.530029,2519.81,82.99,-0.8559999999999999,2.39,22.28468
2023-11-30,1288.359985,2535.29,85.38,-0.8120000000000003,2.36,19.01781
2023-12-01,1296.660034,2505.01,81.31,-0.8380000000000001,2.40,17.46924
2023-12-01,1296.660034,2505.01,81.31,-0.8380000000000001,2.4,17.46924
2023-12-04,1299.189941,2514.95,78.03,-0.8449999999999998,2.34,15.91005
2023-12-05,1307.800049,2494.28,78.53,-0.9039999999999999,2.34,23.04836
2023-12-06,1313.369995,2495.38,77.53,-0.9619999999999997,2.34,19.04963
2023-12-07,1313.719971,2492.07,75.0,-0.9080000000000004,2.32,29.34874
2023-12-08,1312.76001,2517.85,76.07,-0.9130000000000003,2.31,17.74501
2023-12-11,1316.51001,2525.36,76.63,-0.907,2.34,20.04666
2023-12-12,1313.619995,2535.27,76.23,-0.9340000000000002,2.33,17.84047
2023-12-13,1310.140015,2510.66,71.63,-0.931,2.37,17.92532
2023-12-14,1292.01001,2544.18,74.38,-1.009,2.1,35.09758
2023-12-14,1292.01001,2544.18,74.38,-1.009,2.10,35.09758
2023-12-15,1291.920044,2563.56,76.16,-1.0490000000000004,2.14,25.78489
2023-12-18,1276.469971,2566.86,76.17,-1.044,2.15,21.11794
2023-12-19,1302.930054,2568.55,76.83,-1.0259999999999998,2.11,19.13449
2023-12-20,1297.76001,2614.3,79.06,-1.0630000000000002,2.11,18.03139
2023-12-21,1296.97998,2600.02,78.84,-0.9739999999999998,2.1,14.69028
2023-12-21,1296.97998,2600.02,78.84,-0.9739999999999998,2.10,14.69028
2023-12-22,1291.709961,2599.51,79.12,-0.9580000000000002,2.07,15.05091
2023-12-25,1297.359985,2599.51,79.12,-0.9980000000000002,2.07,6.15188
2023-12-26,1294.579956,2602.59,78.65,-0.94,2.06,22.38014
2023-12-27,1293.920044,2613.5,80.19,-0.9919999999999995,2.04,20.06788
2023-12-28,1294.76001,2655.28,79.09,-0.9669999999999996,2.02,26.24098
2023-12-29,1277.839966,2655.28,77.08,-0.9039999999999995,2.04,20.00424
2024-01-01,1293.530029,2655.28,77.08,-0.9019999999999997,2.04,6.88375
2024-01-02,1293.540039,2669.81,78.1,-0.8639999999999999,2.17,24.03478
2024-01-03,1307.619995,2607.31,75.28,-0.8959999999999999,2.31,24.02418
2024-01-04,1309.530029,2587.02,78.64,-0.8479999999999999,2.28,18.57233
2024-01-05,1311.25,2578.08,77.78,-0.8010000000000002,2.27,19.86635
2024-01-08,1313.130005,2567.82,77.87,-0.8109999999999999,2.23,18.38141
2024-01-09,1311.800049,2561.24,76.84,-0.8280000000000003,2.19,17.80865
2024-01-10,1319.790039,2541.98,77.99,-0.8019999999999996,2.11,22.25286
2024-01-11,1317.5,2540.27,77.3,-0.802,2.17,16.6207
2024-01-12,1311.98999,2525.05,79.03,-0.7190000000000003,2.17,14.26601
2024-01-15,1312.849976,2525.99,77.99,-0.7129999999999996,2.16,19.43148
2024-01-16,1319.709961,2497.59,77.83,-0.6769999999999996,2.19,32.17013
2024-01-17,1337.790039,2435.9,76.77,-0.7220000000000004,2.21,43.94357
2024-01-18,1344.050049,2440.04,77.54,-0.694,2.18,26.34705
2024-01-19,1337.660034,2472.74,78.88,-0.7430000000000003,2.16,20.06788
2024-01-22,1333.209961,2464.35,77.76,-0.7649999999999997,2.11,21.9983
2024-01-23,1338.73999,2478.61,79.89,-0.7210000000000001,2.14,19.68604
2024-01-24,1336.780029,2469.69,79.57,-0.6450000000000005,2.08,17.74501
2024-01-25,1329.890015,2470.34,80.31,-0.641,2.09,17.21467
2024-01-26,1336.030029,2478.56,81.67,-0.6479999999999997,2.04,15.32668
2024-01-29,1336.76001,2500.65,83.31,-0.694,2.07,16.22825
2024-01-30,1333.209961,2498.81,81.9,-0.7610000000000001,2.08,17.80865
2024-01-31,1326.619995,2497.09,82.41,-0.8079999999999998,2.22,9.78998
